zip_code,lat,long,population
28081,35.502815246582,-80.6701736450195,25190
28083,35.4896011352539,-80.5806655883789,23820
28086,35.2442436218262,-81.3778305053711,25895
28088,35.5442771911621,-80.6146469116211,2862
28089,35.3182334899902,-81.6595764160156,248
28090,35.4546585083008,-81.5595550537109,8342
28091,34.9873924255371,-79.9329986572266,2158
28092,35.4857597351074,-81.2545547485352,38570
28097,35.2966842651367,-80.3930587768555,5369
28098,35.2711334228516,-81.1007843017578,3579
28101,35.2580986022949,-81.0780639648438,698
28102,34.8184394836426,-79.9722671508789,78
28103,34.9989318847656,-80.3513107299805,10311
28104,35.0605697631836,-80.6928329467773,28040
28105,35.1154327392578,-80.7135009765625,39586
28107,35.2529640197754,-80.5180358886719,6422
28108,34.9347877502441,-80.6811447143555,54
28109,35.496955871582,-80.2885665893555,387
28110,35.0660438537598,-80.5090866088867,50365
28112,34.8899230957031,-80.5495452880859,26311
28114,35.2304420471191,-81.7477035522461,7554
28115,35.5849685668945,-80.7723693847656,34339
28117,35.5656967163086,-80.8983383178711,35454
28119,34.8510780334473,-80.0169830322266,2801
28120,35.328685760498,-81.0263824462891,19807
28124,35.3997383117676,-80.4086303710938,6622
28125,35.6590232849121,-80.698616027832,2525
28127,35.4743041992188,-80.1905822753906,7594
28128,35.2106971740723,-80.1545257568359,7476
28129,35.2315940856934,-80.3271636962891,5399
28133,34.8449249267578,-80.2656784057617,2878
28134,35.085334777832,-80.8933868408203,9453
28135,35.0297584533691,-80.2172775268555,6123
28137,35.5631103515625,-80.2363891601562,3120
28138,35.5144424438477,-80.4373550415039,10495
28139,35.3483619689941,-81.9947357177734,20111
28144,35.7066841125488,-80.4647903442383,24734
28146,35.6192436218262,-80.3933486938477,27614
28147,35.6810607910156,-80.5630187988281,24697
28150,35.3427047729492,-81.5762481689453,28098
28152,35.2427215576172,-81.5994110107422,24735
28159,35.694751739502,-80.4318695068359,3108
28160,35.3610076904297,-81.9223327636719,3929
28163,35.2074203491211,-80.4285354614258,5233
28164,35.3894424438477,-81.0371322631836,14085
28166,35.6803436279297,-80.8681793212891,8619
28167,35.5067520141602,-81.96728515625,2362
28168,35.552360534668,-81.4250717163086,10230
28169,35.358470916748,-81.4293975830078,173
28170,34.9987144470215,-80.0987854003906,12355
28173,34.9161567687988,-80.7314147949219,45097
28174,34.9690361022949,-80.439582824707,8608
28202,35.2272720336914,-80.8441925048828,11195
28203,35.2081832885742,-80.8591079711914,11315
28204,35.2146186828613,-80.8270111083984,4796
28205,35.2187881469727,-80.7895965576172,43931
28206,35.2561264038086,-80.8209991455078,11898
28207,35.194149017334,-80.8245849609375,9280
28208,35.2304649353027,-80.9072418212891,34167
28209,35.1787147521973,-80.8539886474609,20317
28210,35.1305084228516,-80.8566818237305,42263
28211,35.1663436889648,-80.7972869873047,28523
28212,35.1877021789551,-80.7445526123047,38457
28213,35.2859764099121,-80.7343978881836,37309
28214,35.2752532958984,-80.968147277832,34721
28215,35.2449798583984,-80.693473815918,53629
